         13296276 function calls (13061472 primitive calls) in 632.891 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    1.165    0.049 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\bert\modeling_bert.py:444(__init__)
      145    0.001    0.000    1.154    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\modules\linear.py:79(__init__)
      145    0.001    0.000    1.143    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\modules\linear.py:92(reset_parameters)
      145    0.001    0.000    1.138    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\init.py:360(kaiming_uniform_)
      290    1.136    0.004    1.136    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
       14    0.000    0.000    0.939    0.067 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:1034(_validate_conn)
       14    0.000    0.000    0.939    0.067 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connection.py:356(connect)
   582822    0.176    0.000    0.849    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:98(_compile)
    32379    0.025    0.000    0.805    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:257(untokenize)
    32379    0.040    0.000    0.788    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\utils.py:959(safe_eval)
    32379    0.446    0.000    0.768    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:183(untokenize)
    32379    0.060    0.000    0.748    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:54(literal_eval)
   583494    0.682    0.000    0.682    0.000 {method 'match' of 're.Pattern' objects}
   582825    0.117    0.000    0.674    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
   582825    0.304    0.000    0.556    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
       14    0.000    0.000    0.506    0.036 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connection.py:161(_new_conn)
       14    0.000    0.000    0.506    0.036 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\connection.py:37(create_connection)
    32379    0.018    0.000    0.486    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:33(parse)
       14    0.475    0.034    0.475    0.034 {method 'connect' of '_socket.socket' objects}
    32379    0.462    0.000    0.462    0.000 {built-in method builtins.compile}
