         185984781 function calls (183093451 primitive calls) in 263.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      700    0.061    0.000    5.519    0.008 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\experiments\automatic_feedback.py:15(_call)
   404720    0.200    0.000    5.151    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:33(parse)
   404720    4.902    0.000    4.902    0.000 {built-in method builtins.compile}
       10    0.000    0.000    4.762    0.476 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\embedding.py:129(__init__)
       10    0.000    0.000    4.762    0.476 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:115(load)
        1    0.000    0.000    4.758    4.758 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    4.757    4.757 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    4.757    4.757 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
   282118    0.207    0.000    4.691    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:20(__getitem__)
   281549    0.948    0.000    3.910    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:316(get__item)
3237760/404720    2.882    0.000    3.267    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:79(_convert)
   281549    0.761    0.000    2.842    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\entity_helper.py:158(extract_row_data_from_fields_data)
      570    0.011    0.000    2.575    0.005 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\collection.py:61(__init__)
        1    0.001    0.001    2.541    2.541 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
       14    0.000    0.000    2.532    0.181 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    2.514    0.180 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    2.499    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    2.495    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    2.487    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    2.482    0.177 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
  7284960    1.797    0.000    2.447    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
