         343142369 function calls (340008494 primitive calls) in 214.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.703    4.703 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    4.703    4.703 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    4.703    4.703 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
   292736    0.151    0.000    4.145    0.000 <__array_function__ internals>:2(einsum)
   146368    0.181    0.000    3.459    0.000 <__array_function__ internals>:2(clip)
   292736    0.132    0.000    3.306    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
 12549738    3.194    0.000    3.194    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:242(value)
   292736    3.175    0.000    3.175    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   146368    0.148    0.000    3.111    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2046(clip)
   292736    2.224    0.000    3.063    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:84(_handle_zeros_in_scale)
   146368    0.105    0.000    2.963    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
  1960837    1.403    0.000    2.867    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:103(__setitem__)
   585472    1.252    0.000    2.852    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:253(_num_samples)
        1    0.000    0.000    2.815    2.815 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
   146368    0.127    0.000    2.811    0.000 {method 'clip' of 'numpy.ndarray' objects}
       14    0.000    0.000    2.807    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    2.794    0.200 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    2.781    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    2.778    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    2.771    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    2.766    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
   146368    0.317    0.000    2.684    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:125(_clip)
       13    0.000    0.000    2.588    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.584    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.584    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
3237760/404720    2.066    0.000    2.442    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:79(_convert)
  7284960    1.767    0.000    2.408    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
 14784794    2.144    0.000    2.144    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:84(signals)
  7284960    1.958    0.000    2.109    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:170(add_whitespace)
  1618880    1.306    0.000    2.036    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:893(_read_bytes)
  4123968    1.347    0.000    1.940    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:271(__getitem__)
        1    0.000    0.000    1.887    1.887 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:794(_load_sbert_model)
        1    0.000    0.000    1.886    1.886 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:113(load)
        1    0.000    0.000    1.886    1.886 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:20(__init__)
        1    0.000    0.000    1.860    1.860 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\auto\auto_factory.py:390(from_pretrained)
        1    0.000    0.000    1.822    1.822 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\modeling_utils.py:1075(from_pretrained)
       14    0.000    0.000    1.804    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:1303(getresponse)
       14    0.000    0.000    1.804    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:300(begin)
       14    0.000    0.000    1.800    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:267(_read_status)
      265    0.000    0.000    1.800    0.007 {method 'readline' of '_io.BufferedReader' objects}
       14    0.000    0.000    1.800    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
       14    0.000    0.000    1.799    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ssl.py:1230(recv_into)
       14    0.000    0.000    1.799    0.129 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ssl.py:1090(read)
