         689521350 function calls (683255439 primitive calls) in 448.732 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   591712    7.017    0.000    7.017    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   591712    4.928    0.000    6.727    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:84(_handle_zeros_in_scale)
   295856    0.308    0.000    6.690    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2046(clip)
 25353207    6.664    0.000    6.664    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:242(value)
   295856    0.222    0.000    6.382    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
  1183424    2.714    0.000    6.309    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:253(_num_samples)
  3943484    2.919    0.000    6.118    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:103(__setitem__)
   295856    0.262    0.000    6.054    0.000 {method 'clip' of 'numpy.ndarray' objects}
   295856    0.682    0.000    5.792    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:125(_clip)
       20    0.000    0.000    5.359    0.268 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\embedding.py:129(__init__)
       20    0.000    0.000    5.358    0.268 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:115(load)
        1    0.000    0.000    5.357    5.357 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    5.356    5.356 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    5.356    5.356 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
 14569920    3.616    0.000    4.934    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
6475520/809440    4.155    0.000    4.916    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:79(_convert)
 29829559    4.585    0.000    4.585    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:84(signals)
 14569920    4.008    0.000    4.307    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:170(add_whitespace)
  3237760    2.698    0.000    4.162    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:893(_read_bytes)
  8331502    2.864    0.000    4.147    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:271(__getitem__)
  1183424    0.936    0.000    3.635    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\warnings.py:165(simplefilter)
  5804912    1.066    0.000    3.585    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
   591712    1.886    0.000    3.422    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:91(_clip_dep_is_scalar_nan)
        1    0.000    0.000    3.110    3.110 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
 24132860    3.100    0.000    3.100    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:134(value)
       14    0.000    0.000    3.092    0.221 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    3.078    0.220 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    3.065    0.219 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    3.062    0.219 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    3.055    0.218 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    3.050    0.218 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
       13    0.000    0.000    2.920    0.225 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.906    0.224 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.906    0.224 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
       20    2.035    0.102    2.658    0.133 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\other_processing.py:39(_call)
  1183424    1.400    0.000    2.617    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\warnings.py:181(_add_filter)
  5804912    1.619    0.000    2.519    0.000 {built-in method _abc._abc_instancecheck}
  1183424    1.064    0.000    2.472    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
 35796572    2.361    0.000    2.361    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    2.306    0.115 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\bson\__init__.py:941(decode)
       20    2.306    0.115    2.306    0.115 {built-in method bson._cbson._bson_to_dict}
11462327/11462037    2.241    0.000    2.291    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    2.246    2.246 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:794(_load_sbert_model)
        1    0.000    0.000    2.228    2.228 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:113(load)
