         183668666 function calls (180777045 primitive calls) in 236.597 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   240771    0.153    0.000    5.047    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\search.py:150(__next__)
       10    0.000    0.000    4.868    0.487 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\embedding.py:129(__init__)
       10    0.000    0.000    4.868    0.487 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:115(load)
        1    0.000    0.000    4.866    4.866 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    4.865    4.865 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    4.865    4.865 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
   240771    0.207    0.000    4.859    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:34(__next__)
   404720    4.810    0.000    4.810    0.000 {built-in method builtins.compile}
   240771    0.167    0.000    3.833    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:20(__getitem__)
   240200    0.777    0.000    3.179    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:316(get__item)
        1    0.000    0.000    2.849    2.849 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
       14    0.000    0.000    2.842    0.203 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    2.828    0.202 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    2.816    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    2.813    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    2.806    0.200 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    2.802    0.200 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
      573    0.009    0.000    2.673    0.005 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\collection.py:61(__init__)
3237760/404720    2.272    0.000    2.652    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:79(_convert)
       13    0.000    0.000    2.621    0.202 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.617    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.617    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
  7284960    1.784    0.000    2.458    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
   240200    0.580    0.000    2.302    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\entity_helper.py:158(extract_row_data_from_fields_data)
  7284960    1.936    0.000    2.089    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:170(add_whitespace)
  1618880    1.342    0.000    2.077    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:893(_read_bytes)
        1    0.000    0.000    2.016    2.016 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:794(_load_sbert_model)
        1    0.000    0.000    2.015    2.015 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:113(load)
        1    0.000    0.000    2.015    2.015 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:20(__init__)
        1    0.000    0.000    1.991    1.991 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\auto\auto_factory.py:390(from_pretrained)
        1    0.000    0.000    1.951    1.951 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\modeling_utils.py:1075(from_pretrained)
   405591    1.917    0.000    1.917    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2334    0.009    0.000    1.790    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\threading.py:280(wait)
       14    0.000    0.000    1.782    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:1303(getresponse)
       14    0.000    0.000    1.781    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:300(begin)
       14    0.000    0.000    1.777    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:267(_read_status)
      265    0.000    0.000    1.777    0.007 {method 'readline' of '_io.BufferedReader' objects}
       14    0.000    0.000    1.777    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
       14    0.000    0.000    1.777    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ssl.py:1230(recv_into)
       14    0.000    0.000    1.777    0.127 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ssl.py:1090(read)
       14    1.777    0.127    1.777    0.127 {method 'read' of '_ssl._SSLSocket' objects}
     7310    1.771    0.000    1.771    0.000 {method 'acquire' of '_thread.lock' objects}
   480400    1.677    0.000    1.722    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\entity_helper.py:169(check_append)
      573    0.010    0.000    1.552    0.003 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\grpc_handler.py:316(has_collection)
     1166    0.007    0.000    1.512    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:780(result)
     1166    0.003    0.000    1.504    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_common.py:117(wait)
     1166    0.004    0.000    1.500    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_common.py:110(_wait_once)
 24234457    1.440    0.000    1.490    0.000 {built-in method builtins.isinstance}
       10    0.775    0.077    1.339    0.134 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\other_processing.py:39(_call)
        1    0.000    0.000    1.293    1.293 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\bert\modeling_bert.py:862(__init__)
   480971    1.087    0.000    1.283    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:309(__len__)
  6599622    0.993    0.000    1.279    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:236(__eq__)
 17903796    1.198    0.000    1.198    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    1.141    1.141 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\bert\modeling_bert.py:529(__init__)
        1    0.000    0.000    1.141    1.141 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\bert\modeling_bert.py:532(<listcomp>)
       24    0.000    0.000    1.141    0.048 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\bert\modeling_bert.py:444(__init__)
      145    0.001    0.000    1.135    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\modules\linear.py:79(__init__)
      145    0.001    0.000    1.127    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\modules\linear.py:92(reset_parameters)
      145    0.001    0.000    1.124    0.008 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\nn\init.py:360(kaiming_uniform_)
      290    1.123    0.004    1.123    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
18088168/18088133    1.075    0.000    1.075    0.000 {built-in method builtins.len}
